Class,Manuf_Part_Number_Plus,SKU_Nbr,Short_Week,SKU,Sales_Units,Sales_Dollars
021-008-FENCING,UNKNOWN,1000031150,FW 201836,1000031150-4X4-8 VINYL FENCE POST,151,2844.6400000000003
021-008-FENCING,UNKNOWN,1000031150,FW 201853,1000031150-4X4-8 VINYL FENCE POST,2,34.019999999999996
021-008-FENCING,UNKNOWN,1000031150,FW 201926,1000031150-4X4-8 VINYL FENCE POST,-1,34.669999999999966
021-008-FENCING,UNKNOWN,1000031150,FW 201916,1000031150-4X4-8 VINYL FENCE POST,59,707.55
021-008-FENCING,UNKNOWN,1000031150,FW 201928,1000031150-4X4-8 VINYL FENCE POST,51,261.67999999999995
021-008-FENCING,UNKNOWN,1000031150,FW 201822,1000031150-4X4-8 VINYL FENCE POST,161,3053.01
021-008-FENCING,UNKNOWN,1000031150,FW 201851,1000031150-4X4-8 VINYL FENCE POST,13,204.95999999999998
021-008-FENCING,UNKNOWN,1000031150,FW 201847,1000031150-4X4-8 VINYL FENCE POST,57,818.3
021-008-FENCING,UNKNOWN,1000031150,FW 201925,1000031150-4X4-8 VINYL FENCE POST,31,337.1
021-008-FENCING,UNKNOWN,1000031150,FW 201914,1000031150-4X4-8 VINYL FENCE POST,38,720.02000000000021
021-008-FENCING,UNKNOWN,1000031150,FW 201824,1000031150-4X4-8 VINYL FENCE POST,156,3091.0800000000004
021-008-FENCING,UNKNOWN,1000031150,FW 201906,1000031150-4X4-8 VINYL FENCE POST,130,1331.98
021-008-FENCING,UNKNOWN,1000031150,FW 201913,1000031150-4X4-8 VINYL FENCE POST,69,359.86999999999995
021-008-FENCING,UNKNOWN,1000031150,FW 201933,1000031150-4X4-8 VINYL FENCE POST,-50,-389.79999999999995
021-008-FENCING,UNKNOWN,1000031150,FW 202005,1000031150-4X4-8 VINYL FENCE POST,2,39.96
021-008-FENCING,UNKNOWN,1000031150,FW 201839,1000031150-4X4-8 VINYL FENCE POST,99,1646.9099999999999
021-008-FENCING,UNKNOWN,1000031150,FW 201751,1000031150-4X4-8 VINYL FENCE POST,10,194.04
021-008-FENCING,UNKNOWN,1000031150,FW 201838,1000031150-4X4-8 VINYL FENCE POST,161,2706.78
021-008-FENCING,UNKNOWN,1000031150,FW 201921,1000031150-4X4-8 VINYL FENCE POST,43,606.71999999999991
021-008-FENCING,UNKNOWN,1000031150,FW 202019,1000031150-4X4-8 VINYL FENCE POST,2,39.96
021-008-FENCING,UNKNOWN,1000031150,FW 201936,1000031150-4X4-8 VINYL FENCE POST,-3,-59.94
021-008-FENCING,UNKNOWN,1000031150,FW 201828,1000031150-4X4-8 VINYL FENCE POST,194,3772.2600000000007
021-008-FENCING,UNKNOWN,1000031150,FW 201844,1000031150-4X4-8 VINYL FENCE POST,13,225.10000000000002
021-008-FENCING,UNKNOWN,1000031150,FW 201804,1000031150-4X4-8 VINYL FENCE POST,1,11.820000000000007
021-008-FENCING,UNKNOWN,1000031150,FW 201842,1000031150-4X4-8 VINYL FENCE POST,50,975.96
021-008-FENCING,UNKNOWN,1000031150,FW 201849,1000031150-4X4-8 VINYL FENCE POST,56,795.03
021-008-FENCING,UNKNOWN,1000031150,FW 201923,1000031150-4X4-8 VINYL FENCE POST,77,1199.1100000000001
021-008-FENCING,UNKNOWN,1000031150,FW 201830,1000031150-4X4-8 VINYL FENCE POST,169,3152.9799999999996
021-008-FENCING,UNKNOWN,1000031150,FW 201810,1000031150-4X4-8 VINYL FENCE POST,24,461.79
021-008-FENCING,UNKNOWN,1000031150,FW 201935,1000031150-4X4-8 VINYL FENCE POST,0,0
